JeNumber,Header Journal Name,PostDate,Description,AcctNum,Amount,Category
4933786,5-2020External Revenue ,2019-07-01,Journal Import 2911969:,10005,72101.45,External Revenue
4817578,4-2020Purchase Invoices ,2019-06-14,"Invoice Voucher Number : 365100001327 , Invoice Description : 2019/4123 Rexona cubebox headboard set A,B , Supplier : Inspire Image Co.,Ltd. , Supplier Site : BANGKOK , Invoice Type : Standard ",60105,-99780.0,Purchase Invoices
4817578,4-2020Purchase Invoices ,2019-06-14,"Invoice Voucher Number : 365100001323 , Invoice Description : 2019/4130 Parodontax - Light sheif ber , Supplier : Aprint Co.,Ltd , Supplier Site : BANGKOK , Invoice Type : Standard ",60105,-36380.0,Purchase Invoices
4817578,4-2020Purchase Invoices ,2019-06-14,"Invoice Voucher Number : 365100001342 , Invoice Description : Fuel , Supplier : Boonnake, Pongsakon , Supplier Site : OFFICE , Invoice Type : Standard ",60105,-437.0,Purchase Invoices
4817578,4-2020Purchase Invoices ,2019-06-14,"Invoice Voucher Number : 365100001337 , Invoice Description : clamp service - Apr19 , Supplier : Idea Orbit Co., Ltd. , Supplier Site : SAMUTPRAKARN , Invoice Type : Standard ",60105,-67945.0,Purchase Invoices
4817578,4-2020Purchase Invoices ,2019-06-14,"Invoice Voucher Number : 365100001338 , Invoice Description : spare delivery - apr 19 , Supplier : Idea Orbit Co., Ltd. , Supplier Site : SAMUTPRAKARN , Invoice Type : Standard ",60105,-51360.0,Purchase Invoices
4767582,3-2020Deliver ,2019-05-09,Journal Import 2712505:,11205,25875.0,Deliver
4767582,3-2020Deliver ,2019-05-17,Journal Import 2712505:,11205,78412.5,Deliver
4767582,3-2020Deliver ,2019-05-02,Journal Import 2712505:,11205,55440.0,Deliver
4767582,3-2020Deliver ,2019-05-13,Journal Import 2712505:,11205,33000.0,Deliver
4767582,3-2020Deliver ,2019-05-10,Journal Import 2712505:,11205,121000.0,Deliver
4767582,3-2020Deliver ,2019-05-16,Journal Import 2712505:,11205,310570.0,Deliver
4767582,3-2020Deliver ,2019-05-10,Journal Import 2712505:,11205,19360.0,Deliver
4767582,3-2020Deliver ,2019-05-16,Journal Import 2712505:,11205,18150.0,Deliver
4767582,3-2020Deliver ,2019-05-08,Journal Import 2712505:,27035,-60710.61,Deliver
4767582,3-2020Deliver ,2019-05-08,Journal Import 2712505:,27035,-7522.11,Deliver
4774239,3-2020Receipts ,2019-05-14,Receipt Application Status: APP Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-127400.0,Receipts
4774239,3-2020Receipts ,2019-05-14,Receipt Application Status: APP Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-853632.0,Receipts
4774239,3-2020Receipts ,2019-05-14,Receipt Application Status: APP Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-519090.0,Receipts
4774239,3-2020Receipts ,2019-05-13,Receipt Application Status: APP Customer Name: I.P. Trading Company Limited Customer Number: 214159 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-1208740.0,Receipts
4774239,3-2020Receipts ,2019-05-13,Receipt Application Status: APP Customer Name: GlaxoSmithKline Consumer Healthcare (Thailand) Limited. Customer Number: 214125 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-182000.0,Receipts
4774239,3-2020Receipts ,2019-05-14,Receipt Application Status: APP Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-254800.0,Receipts
4774239,3-2020Receipts ,2019-05-14,Receipt Application Status: APP Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-519090.0,Receipts
4774239,3-2020Receipts ,2019-05-13,"Receipt Application Status: APP Customer Name: Posterscope (Thailand) Co., Ltd. Customer Number: 214375 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ",50005,-482097.2,Receipts
4774239,3-2020Receipts ,2019-05-14,Receipt Application Status: APP Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-308880.0,Receipts
4774239,3-2020Receipts ,2019-05-13,Receipt Application Status: APP Customer Name: F&N Dairies (Thailand) Limited Customer Number: 214144 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,50005,-522600.0,Receipts
5319186,8-2020 Receiving,2019-10-01,Journal Import 3227369:,66057,2000.0,Receiving
5319186,8-2020 Receiving,2019-10-09,Journal Import 3227369:,66057,35811934.15,Receiving
5319186,8-2020 Receiving,2019-10-01,Journal Import 3227369:,66057,139628.67,Receiving
5319186,8-2020 Receiving,2019-10-15,Journal Import 3227369:,66057,2318.32,Receiving
5319186,8-2020 Receiving,2019-10-03,Journal Import 3227369:,66057,24000.0,Receiving
5319186,8-2020 Receiving,2019-10-11,Journal Import 3227369:,66057,2500.0,Receiving
5319186,8-2020 Receiving,2019-10-11,Journal Import 3227369:,66057,67800.0,Receiving
5319186,8-2020 Receiving,2019-10-03,Journal Import 3227369:,66057,1309.44,Receiving
5319186,8-2020 Receiving,2019-10-03,Journal Import 3227369:,66057,30000.0,Receiving
5319186,8-2020 Receiving,2019-10-15,Journal Import 3227369:,66057,132000.0,Receiving
5319186,8-2020 Receiving,2019-10-01,Journal Import 3227369:,66057,8000.0,Receiving
5319186,8-2020 Receiving,2019-10-03,Journal Import 3227369:,66057,2000.0,Receiving
5319186,8-2020 Receiving,2019-10-11,Journal Import 3227369:,66057,1600.0,Receiving
5209052,7-2020 Receipts,2019-09-25,Receipt Application Status: REV Customer Name: Election Commission of Thailand Customer Number: 362019 Bill-To Site:  Remittance Bank Name: HK and Shanghai Banking Corp Ltd Remittance Bank Account Name: dh Thailand - THB 001 ,62110,-136653.0,Receipts
4695707,2-2020Purchase Invoices ,2019-04-01,"Invoice Voucher Number : 365100000720 , Invoice Description : EST Play End cap , Supplier : Idea Orbit Co., Ltd. , Supplier Site : SAMUTPRAKARN , Invoice Type : Standard ",54510,869.4,Purchase Invoices
4779043,3-2020Depreciation ,2019-05-17,"Periodic Depreciation , Book : TH FA CORP , Asset Period : 03-2020 ",26060,2220.73,Depreciation
4779043,3-2020Depreciation ,2019-05-17,"Periodic Depreciation , Book : TH FA CORP , Asset Period : 03-2020 ",26060,342.86,Depreciation
4827217,4-2020Sales Invoices ,2019-06-28,Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site: 295178 ,50005,187200.0,Sales Invoices
4827217,4-2020Sales Invoices ,2019-06-28,Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site: 295178 ,50005,102502.4,Sales Invoices
4827217,4-2020Sales Invoices ,2019-06-28,Customer Name: Kinetic Worldwide (Thailand) Ltd. Customer Number: 214176 Bill-To Site: 295178 ,62125,2956.8,Sales Invoices
4827437,4-2020Deliver ,2019-06-04,Journal Import 2820197:,26020,8140.0,Deliver
4827439,4-2020Receiving ,2019-06-13,Journal Import 2820197:,66055,-89320.0,Receiving
4827439,4-2020Receiving ,2019-06-01,Journal Import 2820197:,66055,-86600.7,Receiving
4827439,4-2020Receiving ,2019-06-01,Journal Import 2820197:,66055,-357400.0,Receiving
4827439,4-2020Receiving ,2019-06-13,Journal Import 2820197:,66057,89320.0,Receiving
4827439,4-2020Receiving ,2019-06-04,Journal Import 2820197:,66057,6600.0,Receiving
4825518,4-2020Purchase Invoices ,2019-06-19,"Invoice Voucher Number : 365100001368 , Invoice Description : May'19 , Supplier : Vongthammachart, Tippawan , Supplier Site : OFFICE , Invoice Type : Standard ",20210,314.47,Purchase Invoices
4665629,1-2020Billing Reclassification ,2019-03-31,Journal Import 2558796:,51025,-300000.0,Billing Offset Reclass
5079015,6-2020Depreciation ,2019-08-19,"Periodic Depreciation , Book : TH FA CORP , Asset Period : 06-2020 ",43505,-419.97,Depreciation
5079015,6-2020Depreciation ,2019-08-19,"Periodic Depreciation , Book : TH FA CORP , Asset Period : 06-2020 ",43505,-109.99,Depreciation
4932838,5-2020Deliver ,2019-07-12,Journal Import 2911561:,66057,2627.48,Deliver
4932838,5-2020Deliver ,2019-07-15,Journal Import 2911561:,66057,3500.0,Deliver
4840570,5-2020Reconciled Payments ,2019-07-01,"Payment Cleared , Payment Document Sequence Name : TH dh AP PAY Gapless , Payment Document Sequence Number : 365100000371 , Payment Number : 28422 , Payment Date : 02-MAY-19 , Bank Account Name : dh Thailand - THB 001 , Payment Currency Code : THB , Payment Method : DH_MANUAL , Payee : dunnhumby Limited Payment Currency Code THB ",55060,1370826.41,Reconciled Payments
4840570,5-2020Reconciled Payments ,2019-07-01,"Payment Cleared , Payment Document Sequence Name : TH dh AP PAY Gapless , Payment Document Sequence Number : 365100000511 , Payment Number : 30566 , Payment Date : 14-JUN-19 , Bank Account Name : dh Thailand - THB 001 , Payment Currency Code : THB , Payment Method : DH_MANUAL , Payee : Property Management Office Chulalongkorn University Payment Currency Code THB ",55060,1751687.16,Reconciled Payments
4614587,1-2020Purchase Invoices ,2019-03-07,"Invoice Voucher Number : 365100000561 , Invoice Description : Production , Supplier : Inspire Image Co.,Ltd. , Supplier Site : BANGKOK , Invoice Type : Standard ",60105,-32014.4,Purchase Invoices
4700698,2-2020Purchase Invoices ,2019-04-08,"Invoice Voucher Number : 365100000821 , Invoice Description : Jan'19 , Supplier : Dumrongbhalasitr, Teeradet , Supplier Site : OFFICE , Invoice Type : Standard ",26065,4160.0,Purchase Invoices
4700698,2-2020Purchase Invoices ,2019-04-08,"Invoice Voucher Number : 365100000825 , Invoice Description : Mar 2019 , Supplier : Phirksuwan, Nalinthip , Supplier Site : OFFICE , Invoice Type : Standard ",20220,5617.0,Purchase Invoices
5175905,7-2020 External Revenue,2019-09-01,Journal Import 3136757:,10805,-235531.35,External Revenue
5152178,7-2020Deliver ,2019-09-12,Journal Import 3108786:,11205,1125.0,Deliver
5152179,7-2020Receiving ,2019-09-12,Journal Import 3108786:,66055,-450.0,Receiving
5152179,7-2020Receiving ,2019-09-12,Journal Import 3108786:,66055,-1125.0,Receiving
5152179,7-2020Receiving ,2019-09-12,Journal Import 3108786:,66055,-110390.0,Receiving
5167131,7-2020Purchase Invoices ,2019-09-18,"Invoice Voucher Number : 365100001993 , Invoice Description : China expenses claim , Supplier : Sriburanasorn, Kasamon , Supplier Site : OFFICE , Invoice Type : Standard ",60105,-16874.85,Purchase Invoices
4675802,1-2020Depreciation ,2019-03-25,"Periodic Depreciation , Book : TH FA CORP , Asset Period : 01-2020 ",26055,35113.33,Depreciation
4675802,1-2020Depreciation ,2019-03-25,"Periodic Depreciation , Book : TH FA CORP , Asset Period : 01-2020 ",26055,5799.3,Depreciation
4675802,1-2020Depreciation ,2019-03-25,"Periodic Depreciation , Book : TH FA CORP , Asset Period : 01-2020 ",26055,5515.2,Depreciation
4675802,1-2020Depreciation ,2019-03-25,"Periodic Depreciation , Book : TH FA CORP , Asset Period : 01-2020 ",26055,7353.6,Depreciation
5142751,7-2020Purchase Invoices ,2019-09-06,"Invoice Voucher Number : 365100001890 , Invoice Description : Noppadol - 3 Sep 19 , Supplier : Noppadol Areewanich , Supplier Site : Bangkok , Invoice Type : Standard ",20220,14444.5,Purchase Invoices
4695748,2-2020Purchase Invoices ,2019-04-01,"Invoice Voucher Number : 365100000701 , Invoice Description : February Expenses (01/02/2019) , Supplier : Merritt, James , Supplier Site : OFFICE , Invoice Type : Standard ",20215,5877.3,Purchase Invoices
4827447,4-2020Receiving ,2019-06-17,Journal Import 2820195:,66057,2400.0,Receiving
4827447,4-2020Receiving ,2019-06-14,Journal Import 2820195:,66057,31905.0,Receiving
4827447,4-2020Receiving ,2019-06-01,Journal Import 2820195:,66057,2600.0,Receiving
4827447,4-2020Receiving ,2019-06-14,Journal Import 2820195:,66057,4000.0,Receiving
4827447,4-2020Receiving ,2019-06-01,Journal Import 2820195:,66057,2000.0,Receiving
4827447,4-2020Receiving ,2019-06-11,Journal Import 2820195:,66057,2600.0,Receiving
4827447,4-2020Receiving ,2019-06-11,Journal Import 2820195:,66057,188733.0,Receiving
