survived,pclass,age,sibsp,parch,fare,adult_male,embark_town,alive,alone,fare_zscore,sex_female,sex_male,"age_cat_(-inf, 12.0]","age_cat_(12.0, 18.0]","age_cat_(18.0, 25.0]","age_cat_(25.0, 30.0]","age_cat_(30.0, 35.0]","age_cat_(35.0, 40.0]","age_cat_(40.0, 45.0]","age_cat_(45.0, 50.0]","age_cat_(50.0, 60.0]","age_cat_(60.0, 70.0]","age_cat_(70.0, 80.0]","age_cat_(80.0, inf]",embarked_C,embarked_None,embarked_Q,embarked_S,class_First,class_Second,class_Third,who_child,who_man,who_woman,deck_A,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_Missing
0,3,22.0,1,0,7.25,1,Southampton,no,0,-0.9102061430761234,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,1,38.0,1,0,71.2833,0,Cherbourg,yes,0,1.3688476438344848,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1,3,26.0,0,0,7.925,0,Southampton,yes,1,-0.821442611646661,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,1,35.0,1,0,53.1,0,Southampton,yes,0,1.0752137185621284,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,3,35.0,0,0,8.05,1,Southampton,no,1,-0.8058380764704022,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,3,39.5,0,0,8.4583,1,Queenstown,no,1,-0.7565049734268007,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
0,1,54.0,0,0,51.8625,1,Southampton,no,1,1.051700937932181,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,3,2.0,3,1,21.075,0,Southampton,no,0,0.1537954234490378,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
1,3,27.0,0,2,11.1333,0,Southampton,yes,0,-0.4825068658890095,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,2,14.0,1,0,30.0708,0,Cherbourg,yes,0,0.5082350243934644,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,3,4.0,1,1,16.7,0,Southampton,yes,0,-0.07821079071081982,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1,1,58.0,0,0,26.55,0,Southampton,yes,1,0.38407011650614753,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,3,20.0,0,0,8.05,1,Southampton,no,1,-0.8058380764704022,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
